GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TADS-6-Teste-Software,br.edu.ifms.services,SetorService,12,109,0,0,2,26,1,8,1,8
TADS-6-Teste-Software,br.edu.ifms.services,TecnicoService,112,22,0,0,23,8,6,2,6,2
TADS-6-Teste-Software,br.edu.ifms.services,OrdemDeServicoService,157,3,0,0,34,1,9,1,9,1
TADS-6-Teste-Software,br.edu.ifms.services,EquipamentoService,133,3,0,0,28,1,9,1,9,1
TADS-6-Teste-Software,br.edu.ifms.entities.enums,Status,0,21,0,0,0,2,0,1,0,1
TADS-6-Teste-Software,br.edu.ifms.entities.enums,Prioridade,0,21,0,0,0,2,0,1,0,1
TADS-6-Teste-Software,br.edu.ifms.resources,SetorResource,58,3,0,0,13,1,5,1,5,1
TADS-6-Teste-Software,br.edu.ifms.resources,EquipamentoResource,58,3,0,0,13,1,5,1,5,1
TADS-6-Teste-Software,br.edu.ifms.resources,TecnicoResource,0,61,0,0,0,14,0,6,0,6
TADS-6-Teste-Software,br.edu.ifms.resources,OrdemDeServicoResource,57,3,0,0,13,1,5,1,5,1
TADS-6-Teste-Software,br.edu.ifms.entities,Tecnico,50,40,6,0,17,16,9,8,6,8
TADS-6-Teste-Software,br.edu.ifms.entities,Setor,38,62,6,0,11,26,6,13,3,13
TADS-6-Teste-Software,br.edu.ifms.entities,Equipamento,77,3,6,0,27,2,14,1,11,1
TADS-6-Teste-Software,br.edu.ifms.entities,OrdemDeServico,117,3,6,0,43,2,22,1,19,1
TADS-6-Teste-Software,br.edu.ifms.services.exceptions,DataBaseException,0,4,0,0,0,2,0,1,0,1
TADS-6-Teste-Software,br.edu.ifms.services.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
TADS-6-Teste-Software,br.edu.ifms.dto,OrdemDeServicoDTO,121,0,0,0,46,0,19,0,19,0
TADS-6-Teste-Software,br.edu.ifms.dto,TecnicoDTO,18,61,0,0,7,24,1,12,1,12
TADS-6-Teste-Software,br.edu.ifms.dto,EquipamentoDTO,65,0,0,0,26,0,11,0,11,0
TADS-6-Teste-Software,br.edu.ifms.dto,SetorDTO,51,42,0,0,23,13,9,6,9,6
TADS-6-Teste-Software,br.edu.ifms,Tads6TesteSoftwareApplication,5,31,0,0,2,3,1,2,1,2
TADS-6-Teste-Software,br.edu.ifms.resources.exceptions,ResourceExceptionHandler,30,33,0,0,8,9,1,2,1,2
TADS-6-Teste-Software,br.edu.ifms.resources.exceptions,StandartError,0,38,0,0,0,17,0,11,0,11
